,epoch,iteration/step,loss,accuracy
145,3,5004,1.6207197,0.5703125
146,3,5004,1.4663699,0.62890625
147,3,5004,1.6229687,0.58984375
148,3,5004,1.8016281,0.5390625
149,3,5004,1.4197905,0.62890625
150,3,5004,1.4939988,0.6171875
151,3,5004,1.5544577,0.578125
152,3,5004,1.4917448,0.61328125
153,3,5004,1.4667963,0.6015625
154,3,5004,1.6303349,0.58984375
155,3,5004,1.6000793,0.6171875
156,3,5004,1.5955511,0.609375
157,3,5004,1.563679,0.5859375
158,3,5004,1.4507648,0.62890625
159,3,5004,1.4786534,0.609375
160,3,5004,1.9207149,0.45703125
161,3,5004,1.7207819,0.578125
162,3,5004,1.765702,0.5546875
163,3,5004,1.5301366,0.625
164,3,5004,1.4134912,0.61328125
165,3,5004,1.5644222,0.578125
166,3,5004,1.6876726,0.54296875
167,3,5004,1.3544719,0.61328125
168,3,5004,1.4140296,0.62109375
169,3,5004,1.695684,0.5546875
170,3,5004,1.5931617,0.5703125
171,3,5004,1.6442335,0.59765625
172,3,5004,1.510174,0.578125
173,3,5004,1.484042,0.578125
174,3,5004,1.6730609,0.55859375
175,3,5004,1.6810341,0.59765625
176,3,5004,1.4942889,0.609375
177,3,5004,1.6067636,0.55078125
178,3,5004,1.5333321,0.59765625
179,3,5004,1.5961189,0.6015625
180,3,5004,1.511338,0.59375
181,3,5004,1.5216212,0.59375
182,3,5004,1.5312587,0.61328125
183,3,5004,1.5793641,0.58984375
184,3,5004,1.7979956,0.53515625
185,3,5004,1.4102192,0.6328125
186,3,5004,1.6336291,0.58984375
187,3,5004,1.6799204,0.56640625
188,3,5004,1.6409707,0.578125
189,3,5004,1.7631601,0.5703125
190,3,5004,1.6059504,0.5625
191,3,5004,1.4794334,0.625
192,3,5004,1.6470153,0.55859375
193,3,5004,1.6327457,0.578125
194,3,5004,1.6432415,0.546875
195,3,5004,1.7193041,0.5703125
196,3,5004,1.6941141,0.578125
197,3,5004,1.6711142,0.56640625
198,3,5004,1.5076118,0.58203125
199,3,5004,1.7610004,0.56640625
200,3,5004,1.4693125,0.6328125
201,3,5004,1.5392003,0.6015625
202,3,5004,1.5494919,0.56640625
203,3,5004,1.5255548,0.59765625
204,3,5004,1.504773,0.609375
205,3,5004,1.3692484,0.65625
206,3,5004,1.6252472,0.59765625
207,3,5004,1.6318638,0.5703125
208,3,5004,1.4338348,0.62109375
209,3,5004,1.5328622,0.59765625
210,3,5004,1.6020818,0.58203125
211,3,5004,1.8031348,0.55078125
212,3,5004,1.4250939,0.61328125
213,3,5004,1.29413,0.66796875
214,3,5004,1.6057458,0.59375
215,3,5004,1.5942531,0.58203125
216,3,5004,1.6956627,0.58203125
217,3,5004,1.4960132,0.55859375
218,3,5004,1.6553075,0.5703125
219,3,5004,1.5914707,0.5859375
220,3,5004,1.4631213,0.59765625
221,3,5004,1.5989444,0.59375
222,3,5004,1.3895605,0.64453125
223,3,5004,1.6847155,0.578125
224,3,5004,1.3927786,0.6015625
225,3,5004,1.5179294,0.59765625
226,3,5004,1.6443778,0.578125
227,3,5004,1.4567181,0.6015625
228,3,5004,1.4033614,0.609375
229,3,5004,1.6284288,0.52734375
230,3,5004,1.5363101,0.62890625
231,3,5004,1.43603,0.6328125
232,3,5004,1.3736141,0.640625
233,3,5004,1.4410517,0.640625
234,3,5004,1.6676278,0.57421875
235,3,5004,1.9147432,0.54296875
236,3,5004,1.8833737,0.546875
237,3,5004,1.6796534,0.546875
238,3,5004,1.559522,0.6328125
239,3,5004,1.4892348,0.6328125
240,3,5004,1.641561,0.6015625
241,3,5004,1.7774255,0.5625
242,3,5004,1.4526649,0.62109375
243,3,5004,1.742136,0.58203125
244,3,5004,1.429709,0.625
245,3,5004,1.5328546,0.58984375
246,3,5004,1.5632503,0.609375
247,3,5004,1.40193,0.64453125
248,3,5004,1.3025693,0.63671875
249,3,5004,1.5147754,0.609375
250,3,5004,1.5558784,0.62109375
251,3,5004,1.4943233,0.6015625
252,3,5004,1.594031,0.5625
253,3,5004,1.5518174,0.609375
254,3,5004,1.7376068,0.54296875
255,3,5004,1.5513166,0.6171875
256,3,5004,1.6652186,0.5703125
257,3,5004,1.4265423,0.59765625
258,3,5004,1.3296106,0.6484375
259,3,5004,1.560729,0.609375
260,3,5004,1.3880743,0.609375
261,3,5004,1.4776732,0.625
262,3,5004,1.6142858,0.59765625
263,3,5004,1.9322593,0.578125
264,3,5004,1.4423497,0.609375
265,3,5004,1.3059552,0.65625
266,3,5004,1.4588833,0.59765625
267,3,5004,1.575558,0.64453125
268,3,5004,1.6129162,0.60546875
269,3,5004,1.7752461,0.53515625
270,3,5004,1.5647286,0.55859375
271,3,5004,1.7767727,0.53515625
272,3,5004,1.762497,0.52734375
273,3,5004,1.4975624,0.6484375
274,3,5004,1.8555363,0.5546875
275,3,5004,1.6206551,0.6015625
276,3,5004,1.6111734,0.625
277,3,5004,1.631654,0.6015625
278,3,5004,1.5529034,0.5703125
279,3,5004,1.57617,0.5703125
280,3,5004,1.6351306,0.5703125
281,3,5004,1.690438,0.5625
282,3,5004,1.6701274,0.5390625
283,3,5004,1.7077507,0.5625
284,3,5004,1.4820095,0.59375
285,3,5004,1.6415122,0.58203125
286,3,5004,1.3869665,0.63671875
287,3,5004,1.614923,0.5859375
288,3,5004,1.4842703,0.625
289,3,5004,1.7717702,0.578125
290,3,5004,1.4729235,0.640625
291,3,5004,1.7545664,0.546875
292,3,5004,1.6450386,0.546875
293,3,5004,1.7710841,0.55859375
294,3,5004,1.6056912,0.60546875
295,3,5004,1.5310684,0.60546875
296,3,5004,1.5495683,0.609375
297,3,5004,1.5931827,0.57421875
298,3,5004,1.5903559,0.5703125
299,3,5004,1.6921637,0.57421875
300,3,5004,1.6436069,0.58984375
301,3,5004,1.4030838,0.63671875
302,3,5004,1.6555551,0.58984375
303,3,5004,1.554101,0.58984375
304,3,5004,1.4517984,0.59375
305,3,5004,1.5978401,0.5703125
306,3,5004,1.6983099,0.5625
307,3,5004,1.7803562,0.58984375
308,3,5004,1.5575535,0.5859375
309,3,5004,1.6115515,0.578125
310,3,5004,1.7363205,0.55078125
311,3,5004,1.6682295,0.609375
312,3,5004,1.7634401,0.55859375
313,3,5004,1.6044259,0.59765625
314,3,5004,1.6721694,0.578125
315,3,5004,1.5929385,0.609375
316,3,5004,1.682394,0.6015625
317,3,5004,1.5562108,0.59375
318,3,5004,1.5532033,0.59765625
319,3,5004,1.6754364,0.5546875
320,3,5004,1.5858569,0.62109375
321,3,5004,1.5253077,0.60546875
322,3,5004,1.8083591,0.5625
323,3,5004,1.8778126,0.5
324,3,5004,1.4859624,0.6328125
325,3,5004,1.6322243,0.6015625
326,3,5004,1.6541228,0.5625
327,3,5004,1.6569703,0.56640625
328,3,5004,1.6267934,0.58203125
329,3,5004,1.5197812,0.59765625
330,3,5004,1.4793463,0.6171875
331,3,5004,1.5728437,0.61328125
332,3,5004,1.7913506,0.5546875
333,3,5004,1.78545,0.53125
334,3,5004,1.5244794,0.6171875
335,3,5004,1.5036151,0.57421875
336,3,5004,1.7471809,0.578125
337,3,5004,1.6946115,0.57421875
338,3,5004,1.761146,0.57421875
339,3,5004,1.7659671,0.5703125
340,3,5004,1.5871139,0.62890625
341,3,5004,1.7850585,0.53515625
342,3,5004,1.6183132,0.609375
343,3,5004,1.5743161,0.58203125
344,3,5004,1.6616904,0.58984375
345,3,5004,1.3741381,0.609375
346,3,5004,1.709362,0.56640625
347,3,5004,1.6912005,0.59765625
348,3,5004,1.7347931,0.58203125
349,3,5004,1.7567155,0.57421875
350,3,5004,1.5673825,0.58984375
351,3,5004,1.4602408,0.58984375
352,3,5004,1.5223253,0.61328125
